probe	0	4	8	12	16	20	24	28	32	36	40	44
ct00-rigid	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8
ct01-rigid	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684
ct02-rigid	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778
ct03-rigid	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526
ct04-rigid	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6
ct05-rigid	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368
ct06-rigid	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556
ct07-rigid	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211
ct08-rigid	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4
ct09-rigid	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211
ct10-rigid	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556
ct11-rigid	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368
ct12-rigid	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6
ct13-rigid	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526
ct14-rigid	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778
ct15-rigid	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684
ct16-rigid	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1	0.8
ct17-rigid	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842
ct18-rigid	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1
ct19-rigid	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1
ct20-rigid	0.8	0.6	0.4	0.6	0.8	1	0.8	0.6	0.4	0.6	0.8	1
ct21-rigid	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1	0.894736842	0.684210526	0.473684211	0.578947368	0.789473684	1
ct22-rigid	1	0.777777778	0.555555556	0.555555556	0.777777778	1	1	0.777777778	0.555555556	0.555555556	0.777777778	1
ct23-rigid	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842	1	0.789473684	0.578947368	0.473684211	0.684210526	0.894736842
ct00-spike	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4
ct01-spike	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235
ct02-spike	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571
ct03-spike	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235
ct04-spike	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4
ct05-spike	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235
ct06-spike	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571
ct07-spike	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235
ct08-spike	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4	0.4
ct09-spike	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235
ct10-spike	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571
ct11-spike	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235
ct12-spike	0.4	0.4	0.4	1	0.4	0.4	0.4	0.4	0.4	1	0.4	0.4
ct13-spike	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235	0.470588235	0.470588235	0.470588235	1	0.647058824	0.470588235
ct14-spike	0.571428571	0.571428571	0.571428571	1	1	0.571428571	0.571428571	0.571428571	0.571428571	1	1	0.571428571
ct15-spike	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235	0.470588235	0.470588235	0.470588235	0.647058824	1	0.470588235
