probe	filter type	method	number of oscillations	period	amplitude	phase	R square	pvalue	qvalue	FDR-BH	
ct00-rigid	-1	LSPR	1	24.05	0.255223	23.6731	0.934962	4.56301e-006	1.4122e-006	2.106e-005	
ct01-rigid	-1	LSPR	1	23.9	0.232548	0.659742	0.918528	1.25756e-005	2.97622e-006	4.43843e-005	
ct02-rigid	-1	LSPR	1	23.6	0.22627	2.06393	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct03-rigid	-1	LSPR	1	23.3	0.219005	3.50401	0.84265	0.000243162	3.37353e-005	0.000503093	
ct04-rigid	-1	LSPR	1	23.1	0.231736	4.675	0.816717	0.000483109	6.0741e-005	0.000905829	
ct05-rigid	-1	LSPR	1	23.3	0.219005	5.54599	0.84265	0.000243162	3.37353e-005	0.000503093	
ct06-rigid	-1	LSPR	1	23.6	0.22627	6.53607	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct07-rigid	-1	LSPR	1	23.9	0.232548	7.49026	0.918528	1.25756e-005	2.97622e-006	4.43843e-005	
ct08-rigid	-1	LSPR	1	24.05	0.255223	8.3019	0.934962	4.56301e-006	1.4122e-006	2.106e-005	
ct09-rigid	-1	LSPR	1	24	0.249671	9.12137	0.980286	2.12079e-008	1.21895e-008	1.81782e-007	
ct10-rigid	-1	LSPR	1	24	0.2566	10	1	0	0	0	
ct11-rigid	-1	LSPR	1	24	0.249671	10.8786	0.980286	2.12079e-008	1.21895e-008	1.81782e-007	
ct12-rigid	-1	LSPR	1	24.05	0.255223	11.6481	0.934962	4.56301e-006	1.4122e-006	2.106e-005	
ct13-rigid	-1	LSPR	1	23.9	0.232548	12.6097	0.918528	1.25756e-005	2.97622e-006	4.43843e-005	
ct14-rigid	-1	LSPR	1	23.6	0.22627	13.8639	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct15-rigid	-1	LSPR	1	23.3	0.219005	15.154	0.84265	0.000243162	3.37353e-005	0.000503093	
ct16-rigid	-1	LSPR	1	23.1	0.231736	16.225	0.816717	0.000483109	6.0741e-005	0.000905829	
ct17-rigid	-1	LSPR	1	23.3	0.219005	17.196	0.84265	0.000243162	3.37353e-005	0.000503093	
ct18-rigid	-1	LSPR	1	23.6	0.22627	18.3361	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct19-rigid	-1	LSPR	1	23.9	0.232548	19.4403	0.918528	1.25756e-005	2.97622e-006	4.43843e-005	
ct20-rigid	-1	LSPR	1	24.05	0.255223	20.3269	0.934962	4.56301e-006	1.4122e-006	2.106e-005	
ct21-rigid	-1	LSPR	1	24	0.249671	21.1214	0.980286	2.12079e-008	1.21895e-008	1.81782e-007	
ct22-rigid	-1	LSPR	1	24	0.2566	22	1	0	0	0	
ct23-rigid	-1	LSPR	1	24	0.249671	22.8786	0.980286	2.12079e-008	1.21895e-008	1.81782e-007	
ct00-spike	-1	LSPR	1	25.7	0.195098	23.6422	0.399615	0.100678	0.00698384	0.10415	
ct01-spike	-1	LSPR	1	25.8	0.193519	24.5839	0.563648	0.0239479	0.00192701	0.0287375	
ct02-spike	-1	LSPR	1	25.1	0.208009	0.6143	0.645301	0.00942687	0.000903037	0.013467	
ct03-spike	-1	LSPR	1	23.3	0.182269	3.44665	0.467309	0.0587676	0.00437856	0.0652974	
ct04-spike	-1	LSPR	1	22.45	0.187354	5.01974	0.339101	0.155099	0.0104003	0.155099	
ct05-spike	-1	LSPR	1	22.5	0.200336	5.90294	0.518806	0.0371913	0.00287756	0.042913	
ct06-spike	-1	LSPR	1	22.55	0.237507	6.91014	0.694462	0.00481721	0.000484532	0.00722581	
ct07-spike	-1	LSPR	1	22.55	0.207341	7.91004	0.572469	0.0218452	0.00183106	0.0273065	
ct08-spike	-1	LSPR	1	22.55	0.197987	8.74641	0.403368	0.0978765	0.00698384	0.10415	
ct09-spike	-1	LSPR	1	23.1	0.2091	9.40646	0.595312	0.0170625	0.00149235	0.0222554	
ct10-spike	-1	LSPR	1	23.35	0.244919	10.325	0.757483	0.00170349	0.000190381	0.00283915	
ct11-spike	-1	LSPR	1	23.1	0.2091	11.4935	0.595312	0.0170625	0.00149235	0.0222554	
ct12-spike	-1	LSPR	1	22.55	0.197987	12.7036	0.403368	0.0978765	0.00698384	0.10415	
ct13-spike	-1	LSPR	1	22.55	0.207341	13.54	0.572469	0.0218452	0.00183106	0.0273065	
ct14-spike	-1	LSPR	1	22.55	0.237507	14.5399	0.694462	0.00481721	0.000484532	0.00722581	
ct15-spike	-1	LSPR	1	22.5	0.200336	15.5971	0.518806	0.0371913	0.00287756	0.042913	
ct16-spike	-1	LSPR	1	22.45	0.187354	16.5303	0.339101	0.155099	0.0104003	0.155099	
ct17-spike	-1	LSPR	1	23.3	0.182269	17.2533	0.467309	0.0587676	0.00437856	0.0652974	
ct18-spike	-1	LSPR	1	25.1	0.208009	18.2857	0.645301	0.00942687	0.000903037	0.013467	
ct19-spike	-1	LSPR	1	25.8	0.193519	19.4161	0.563648	0.0239479	0.00192701	0.0287375	
ct20-spike	-1	LSPR	1	25.7	0.195098	20.3578	0.399615	0.100678	0.00698384	0.10415	
ct21-spike	-1	LSPR	1	24.8	0.21258	21.2594	0.599462	0.0162891	0.00148947	0.0222124	
ct22-spike	-1	LSPR	1	24.5	0.251623	22	0.755698	0.00176066	0.000191452	0.00285512	
ct23-spike	-1	LSPR	1	24.8	0.21258	22.7406	0.599462	0.0162891	0.00148947	0.0222124	
ct00-box1	-1	LSPR	1	23.65	0.386746	0.155394	0.857046	0.0001579	2.3529e-005	0.000350888	
ct01-box1	-1	LSPR	1	23.55	0.335614	1.07599	0.893385	4.21875e-005	8.93341e-006	0.000133224	
ct02-box1	-1	LSPR	1	23.6	0.305464	2.06393	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct03-box1	-1	LSPR	1	23.85	0.300837	3.00857	0.807283	0.000605536	6.9608e-005	0.00103806	
ct04-box1	-1	LSPR	1	24.3	0.322235	3.775	0.721788	0.00316005	0.000334578	0.00498955	
ct05-box1	-1	LSPR	1	23.85	0.300837	5.21643	0.807283	0.000605536	6.9608e-005	0.00103806	
ct06-box1	-1	LSPR	1	23.6	0.305464	6.53607	0.882724	6.478e-005	1.04253e-005	0.000155472	
ct07-box1	-1	LSPR	1	23.55	0.335614	7.59901	0.893385	4.21875e-005	8.93341e-006	0.000133224	
ct08-box1	-1	LSPR	1	23.65	0.386746	8.36961	0.857046	0.0001579	2.3529e-005	0.000350888	
ct09-box1	-1	LSPR	1	23.9	0.356533	9.10194	0.952394	1.12062e-006	5.00961e-007	7.47081e-006	
ct10-box1	-1	LSPR	1	24	0.34641	10	1	0	0	0	
ct11-box1	-1	LSPR	1	23.9	0.356533	10.9981	0.952394	1.12062e-006	5.00961e-007	7.47081e-006	
ct12-box1	-1	LSPR	1	23.65	0.386746	11.9804	0.857046	0.0001579	2.3529e-005	0.000350888	
ct13-box1	-1	LSPR	1	23.55	0.335614	12.851	0.893385	4.21875e-005	8.93341e-006	0.000133224	
ct14-box1	-1	LSPR	1	23.6	0.305464	13.8639	0.882724	6.478e-005	1.04253e-005	0.000155472	
